,Grand Total,Bachelor / Master student,Industry / Government,Librarian,Other,PhD student,Postdoc,Professor / Associate professor / Assistant professor,Publisher
Grand Total,5830,268,198,143,520,1259,1267,2161,14
MS Excel,1457,71,58,42,120,328,324,511,3
R,600,28,20,11,57,127,141,214,2
SPSS,418,22,5,14,26,99,81,171,
GraphPad PRISM,414,8,7,,31,109,123,136,
Matlab,256,9,6,5,16,56,60,104,
SAS,144,1,13,3,20,22,24,61,
Python,104,5,2,,12,33,24,28,
Origin Lab,101,7,1,1,4,27,23,38,
SigmaPlot,85,3,4,,5,15,21,37,
Statistica,83,2,3,1,13,9,12,43,
iPython Notebook,79,5,2,2,8,27,16,18,1
STATA,64,4,1,1,4,9,12,33,
ImageJ,53,4,1,,4,15,10,19,
PAST,47,8,4,,7,8,6,14,
JMP,44,2,1,2,2,2,6,29,
NVIVO,44,3,1,9,2,8,6,15,
Mathematica,38,1,1,,2,17,3,14,
Perl,38,,,1,4,8,14,11,
C/C++,37,,,1,6,10,7,13,
Primer,35,7,1,1,5,5,7,9,
Igor,34,,3,1,2,7,8,13,
ROpenSci,33,1,2,2,3,7,4,13,1
AtlasTI,29,,,1,2,12,5,9,
custom tools,26,,2,,2,5,2,15,
ArcGIS,25,,1,1,3,4,7,9,
MiniTab,24,1,3,1,1,3,4,11,
Bash,21,1,,,2,9,8,1,
UNIX,21,,1,1,1,6,7,5,
code,20,,1,1,,2,4,12,
SigmaStat,16,1,,,1,,4,10,
Canoco,15,,,,2,2,1,10,
Java,15,1,,,,3,4,7,
MPlus,15,1,,,,5,3,6,
FiJi,14,,,,1,5,3,5,
LibreOffice,14,3,,1,,1,5,4,
GenStat,13,,,1,2,,3,7,
StatGraphics Centurion,13,1,,,3,1,,8,
Gnuplot,12,1,,,2,1,4,4,
KaleidaGraph,12,,,,1,1,2,8,
MAXQDA,12,1,,,2,7,2,,
software,12,,,,,2,2,8,
StatView,12,,,,2,1,2,7,
SYSTAT,12,,,,,2,,10,
Julia,11,,,,1,5,1,4,
MEGA,11,3,,,,4,2,2,
MS Word,11,,,1,,3,3,4,
Octave,11,1,,,2,2,2,4,
subject-specific software,11,,,,3,,4,4,
XLStat,11,,,,5,1,,5,
FlowJo,10,,,,2,4,3,1,
MS Access,10,1,,1,1,2,1,3,1
online statistics & analysis tools,10,,,,1,2,,6,1
Permanova,10,4,,,2,2,,2,
Adobe Photoshop,9,,,,,3,5,1,
Awk,9,,,,1,3,3,2,
Cytoscape,9,,,,,2,1,6,
Fortran,9,,,,4,1,1,3,
Geneious,9,,,,2,1,3,3,
instrument specific software,9,,,,,2,2,5,
MedCalc,9,,1,,,2,1,5,
NCBI Blast,9,1,,,,1,1,6,
Epi-Info,8,,1,,1,4,,2,
Galaxy,8,,,,,1,4,3,
Google Sheets,8,1,,1,1,,1,4,
InfoStat,8,,2,,,2,2,2,
LabView,8,,,,2,,,6,
open source tools,8,,1,,2,1,1,3,
OpenOffice,8,1,,1,,1,3,2,
PAUP,8,1,,,,2,2,3,
command line tools,7,,,,1,3,3,,
LibreOffice Calc,7,2,,,,1,1,3,
NCSS,7,1,1,,1,1,,3,
OpenRefine,7,,,6,,,1,,
PC-ORD,7,,1,,1,,,5,
phylogenetic software,7,1,,,,1,3,2,
PLINK,7,,,,2,1,3,1,
QGis,7,,,,2,1,2,2,
Statistics,7,,,,,,2,5,
AMOS,6,1,,,,1,,4,
BioEdit,6,1,,,,1,1,3,
GIS tools,6,1,1,,,2,1,1,
Linux,6,,,,1,1,1,3,
MrBayes,6,,,,,1,2,3,
NCBI (National Center for Biotechnology Information),6,,,,,2,1,3,
Structure,6,,,,,2,1,3,
Tableau,6,,1,3,,,,2,
bioinformatics tools,5,,,,1,1,2,1,
by hand,5,,,,1,,2,2,
EndNote,5,,,,1,,2,2,
EstimateS,5,,,,3,1,1,,
FSL,5,,,,,1,4,,
genetics software,5,,1,,2,,2,,
image analysis software,5,,1,,,1,2,1,
MLWin,5,,,,1,,2,2,
MySQL,5,,,1,1,,1,2,
Numbers,5,1,,,,1,,3,
PyMol,5,,1,,1,1,1,1,
Qiime,5,,,,,2,2,1,
RaxML,5,1,,,,1,1,2,
Scipy,5,,,,,2,1,2,
statistical software,5,,1,,,1,1,2,
XMGrace,5,,,,1,,1,3,
BioNumerics,4,1,,,1,,,2,
C2,4,,,,,2,,2,
Cipres,4,,,,1,1,1,1,
COOT,4,,1,,1,1,1,,
DeltaGraph,4,,,,1,,,3,
FileMaker,4,1,,2,,,,1,
Gephi,4,1,,1,,2,,,
Gimp,4,,,,,1,2,1,
Imaris,4,,,,1,,1,2,
Mothur,4,,,,1,1,,2,
OpenOffice Calc,4,,1,,1,1,,1,
PathVisio,4,,,,,,,4,
Plot.ly,4,1,,,,,1,1,1
ROOT (CERN),4,,,,,,,4,
S,4,,,,1,,,3,
SciLab,4,2,,,1,,1,,
sequence analysis software,4,,,,,1,2,1,
SnapGene,4,,,,,2,2,,
SQL,4,1,,,,1,,2,
Visual Basic,4,,,,,,,4,
Wavemetrics,4,,,,1,,1,2,
Analysis of Functional Neuroimages (AFNI),3,,,,,,2,1,
ArcMap,3,,1,,,2,,,
Asreml,3,,1,,,,1,1,
Biostat,3,,1,,,,1,1,
CCP4,3,,1,,,1,1,,
Chimera,3,,,,,2,,1,
CLC Genomics Workbench,3,,,,,1,,2,
custom code,3,,,,,,1,2,
custom software,3,,1,,,,,2,
Design Expert,3,,,,1,1,,1,
DHbox,3,,,,,1,,2,
Emacs,3,,,,,,3,,
ENVI,3,,,,,,1,2,
ERDAS,3,1,,,1,,1,,
G Power,3,,,,,1,1,1,
Genepop,3,,,,,,2,1,
Gnumeric,3,1,,,1,1,,,
Google Drive/Docs,3,,,,1,,,2,
Grapher,3,,,,,1,1,1,
HLM,3,1,,,,1,1,,
IDL,3,,1,,,,,2,
Image Lab,3,,,,,1,1,1,
Image Studio,3,,,,,,3,,
InStat,3,1,,,,,1,1,
institutional tools,3,,,,1,,1,1,
JASP,3,,,,,3,,,
KNIME,3,,1,,1,,,,1
LaTeX,3,1,,,1,,1,,
LISREL,3,,,,,,1,2,
MAFFT,3,1,,,,,,2,
Maple,3,,,,1,1,,1,
mark,3,,1,,1,,,1,
MathCAD,3,,,,1,1,,1,
MatPlotLib,3,,,,,1,2,,
MAXENT,3,,,,,1,1,1,
Mesquite,3,,,,,,1,2,
Molecular Evolution tools,3,,,,,,2,1,
MS Office,3,,,,,1,1,1,
MVSP,3,,,,1,1,1,,
NONMEM,3,1,,,,2,,,
Numpy,3,,,,,1,1,1,
OrgMode (Emacs),3,,,,,1,2,,
other,3,,,,1,,,2,
Perseus,3,,,,,2,,1,
population genetics programs,3,,,,,2,,1,
programming languages,3,,,,,1,,2,
qtiplot,3,1,,,1,1,,,
Qualtrics,3,,,1,,,,2,
Ruby,3,,,,,,2,1,
S-PLUS,3,,,,,,,3,
Shell,3,,,,,1,,2,
Sphinx,3,,,2,,,1,,
Spotfire,3,,,,1,,,2,
Statistix,3,1,,,,,,2,
SurveyMonkey,3,,,,1,,,1,1
VassarStats,3,,,,,,,3,
VMD,3,,,,,1,1,1,
Weka,3,,1,,,1,1,,
