Other-clean,Included-values,,,,,,
software,"analysis software,and software,computer programs,connected software,dedicated software,dedicated tools for my research discipline,free software,freeware programs,independent software,scientific software packages,software from other sites,standalone software tools",,,,,,
code,"algorithms,any programming language (but R),coding,freely available scripts/programs/pipelines provided by other groups/researcher,scripted queries,own code",,,,,,
open source tools,open source software,,,,,,
custom tools,"inc custom in-house tools,handmade tools,in house software/code,own software,own solution,own tools",,,,,,
online statistics & analysis tools,"free statistical analysis websites,online calculators,Online Database,online sites for data processing,online survey tools,online tools,website-based specific tools",,Online Database,online sites for data processing,online survey tools,online tools,website-based specific tools
other,"others,many others",,,,,,
Statistics,"statistic,Statistical texts,Stats",,,,,,
bioinformatics tools,"freeware bioinformatic tools,Online Bioinformatics",,,,,,
image analysis software,"Image analysis packages,imaging analyses software,imaging softwares,programs for analysing pictures",,,,,,
institutional tools,"institutional software,institutional solution",,,,,,
CCP4,CCP4i,,,,,,
CFX Manager,CFX Manager Bio-Rad,,,,,,
Biostat,Comprehensive Meta-analysis (Biostat),,,,,,
tables,databases,,,,,,
DeltaGraph,DELTA,,,,,,
EstimateS,ESS,,,,,,
FastX Toolkit,FASTX,,,,,,
GraphPad PRISM,GraphPad,,,,,,
Mega,Mega6,,,,,,
Molecular Evolution tools,"Molecular evolution softwares,evolutionary molecular analysis software",,,,,,
NCBI Blast,BLAST,,,,,,
OpenOffice Calc,OpenCalc,,,,,,
Origin Lab,"Origin, Origin Pro",,,,,,
PC-Ord,pcord,,,,,,
PDB,PDBe,,,,,,
population genetics programs,population/evolutonary genetics software (freely available),,,,,,
R,R statistics,,,,,,
SigmaPlot,Sigma,,,,,,
StatGraphics Centurion,Stat graphic,,,,,,
Tableau,Tableau Public ,,,,,,
